Date,cpi_annual,us_5y_yield,cds_proxy,viop30_proxy,vix,xu100_rvol,iv_rv_spread,cds_change_20d,cds_ma_ratio,viop30_change_5d,viop30_change_20d,viop30_ma_ratio
2023-09-28,16.9104,0.0464300012588501,6.301648834559312,45.530420742525784,17.34000015258789,28.710846069573538,16.819574672952246,-12.606394788162998,0.4261830450608644,0.08243298010151823,0.26352222778422063,1.0977090103037848
2023-09-29,16.9104,0.046059999465942386,6.402556684323779,45.67807808829858,17.520000457763672,28.497801663460915,17.18027642483766,-12.50636098920038,0.442047357420026,0.0575126899875289,0.29346722855103424,1.1007434422017353
2023-10-01,17.4911,0.046059999465942386,6.402556684323779,45.67807808829858,17.520000457763672,28.497801663460915,17.18027642483766,-12.540518630261124,0.4515067976774344,0.046263233436818485,0.32277695962025477,1.1005365468832036
2023-10-02,17.4911,0.04717000007629395,6.0627163110509406,46.92913774978799,17.610000610351562,28.935975876126946,17.993161873661045,-13.090807166183218,0.4371522188438732,0.06200721446688484,0.23229878004306959,1.1295859638621568
2023-10-03,17.4911,0.048010001182556154,5.7357902907016065,49.17012766512223,19.780000686645508,28.725951864038567,20.444175801083663,-13.394069675156112,0.42321808320507864,0.01054904590365946,0.2716120923750689,1.1794810117584438
2023-10-04,17.4911,0.04718999862670899,5.7375869963584405,45.66337589427973,18.579999923706055,29.74139890613779,15.921976988141942,-13.396906089493854,0.4333572779278368,0.0029201388782635895,0.18126721359780018,1.0932493507212948
2023-10-05,17.4911,0.04683000087738037,5.739358027525669,45.38617446458219,18.489999771118164,29.703490972424433,15.682683492157757,-13.347905798540264,0.4441538806752076,-0.00639045327502874,0.27942168126255806,1.0842910110050095
2023-10-06,17.4911,0.04748000144958496,5.740194162863144,39.778603264422145,17.450000762939453,29.72075311418963,10.057850150232515,-13.474044036497716,0.4552790634992367,-0.12915330659211144,0.18079268939105586,0.9505745774578728
2023-10-09,17.4911,0.04755000114440918,4.887426538751909,42.190774887955776,17.700000762939453,30.994331047501905,11.19644384045387,-14.542653048995788,0.39798471993885665,-0.10096846200532672,0.21409298260482812,1.0072983292072293
2023-10-10,17.4911,0.0461899995803833,4.4380853535478355,42.50048711636888,17.030000686645508,32.77351633239219,9.72697078397669,-15.00803097544627,0.3717752426991987,-0.13564415765152293,0.17783825896658767,1.0142001164583958
2023-10-11,17.4911,0.046050000190734866,4.458512869539316,39.39776469505689,16.09000015258789,32.44375064393178,6.954014051125114,-14.986536259816688,0.3846304530544418,-0.13721305261636896,0.1361244055916342,0.9411218462757384
2023-10-12,17.4911,0.047010002136230467,4.394129663034856,41.94676909022327,16.690000534057617,32.38452657361787,9.562242516605401,-15.05556270328622,0.3860860641638436,-0.07578090497675483,0.15331676412913087,1.001554419243394
2023-10-13,17.4911,0.04644000053405762,4.511206064885669,50.428303755902355,19.31999969482422,32.252973756020644,18.17532999988171,-15.036951286923333,0.4033093119174167,0.2677243446857087,0.34520558814679947,1.1999128354545636
2023-10-16,17.4911,0.04717000007629395,4.300360282543845,40.276496054544964,17.209999084472656,30.55295198175387,9.723544072791093,-15.433639292593654,0.3900919337261096,-0.045371976184236495,0.148846719013368,0.9588520036078876
2023-10-17,17.4911,0.04872000217437744,4.041665734666802,42.73991197971289,17.8799991607666,31.191617022989604,11.54829495672329,-15.69903793845509,0.37225743699089575,0.00563346162806222,0.1781252740699475,1.0162197466246778
2023-10-18,17.4911,0.049250001907348635,4.079249457768213,47.83983525121649,19.219999313354492,33.52911806954649,14.31071718167,-15.661953557697377,0.3815778738423308,0.2142779069193943,0.13733663326712464,1.135405624586395
2023-10-19,17.4911,0.04960999965667725,4.038944831896178,52.894472413099194,21.399999618530273,30.964982566647542,21.929489846451652,-4.891258807285126,0.38380190752373244,0.2609903828189608,0.22458251634227633,1.2489942890956056
2023-10-20,17.4911,0.04861999988555908,4.052350675861271,53.92827015337481,21.709999084472656,32.85914632600379,21.069123827371023,-2.905921546303065,0.38916226732848896,0.06940480120874182,0.23523512077838937,1.2669045590083672
2023-10-23,17.4911,0.047930002212524414,4.041709500949171,50.8809730566076,20.3700008392334,32.69686152233936,18.18411153426824,-2.815049299129158,0.39136279446978617,0.2632919454488143,0.1514373171166259,1.1910766202926442
2023-10-24,17.4911,0.04823999881744385,4.04082488327166,53.15653997830849,18.969999313354492,34.8149220341129,18.34161794419559,-2.3699805851687614,0.39452589713686476,0.24372132548003367,0.09247816325525982,1.2388191403241504
2023-10-25,17.4911,0.049180002212524415,3.8370146666344187,60.57000160217285,20.190000534057617,42.67238077000336,17.897620832169494,-2.464634167924893,0.37788663286528995,0.2660997113411392,0.3303193911757547,1.4026182324317733
2023-10-26,17.4911,0.047969999313354494,3.785022015799683,62.040000915527344,20.68000030517578,44.59348870613982,17.44651220938752,-2.6175346685240957,0.37608197859963965,0.17290140321284841,0.35820077183633137,1.4287425738065236
2023-10-27,17.4911,0.047699999809265134,3.606011711350985,63.810001373291016,21.270000457763672,44.26193850963977,19.548062863651246,-2.796544972972794,0.3616127703778655,0.18323842377684363,0.39695022303570426,1.457321647279292
